Number,roi,sub-01,sub-02,sub-03,sub-05
1,Visual Network,0.13951597,0.15372048,0.15574197,0.14541595
2,Visual Network,0.31329343,0.17502986,0.3120172,0.23866723
3,Visual Network,0.34218118,0.19269764,0.3362037,0.25168288
4,Visual Network,0.4412523,0.2777344,0.40439945,0.26649204
5,Visual Network,0.33059976,0.26185283,0.47071335,0.29742727
6,Visual Network,0.42960715,0.31765026,0.37884784,0.23881051
7,Visual Network,0.3711332,0.2189425,0.37989318,0.19553557
8,Visual Network,0.41139445,0.40092328,0.47197053,0.42899153
9,Visual Network,0.41728824,0.26871228,0.2528458,0.26963937
10,Visual Network,0.43249273,0.39957023,0.42017183,0.39947963
11,Visual Network,0.4424946,0.34275553,0.38989222,0.39030725
12,Visual Network,0.35104308,0.30211392,0.30650648,0.25973696
13,Visual Network,0.35749456,0.35540834,0.3724251,0.38333327
14,Visual Network,0.28882334,0.39747316,0.39277893,0.3339597
15,Visual Network,0.23960795,0.20566908,0.23179719,0.20100035
16,Visual Network,0.31724852,0.3130795,0.31029436,0.2364129
17,Visual Network,0.41086856,0.39827016,0.43380424,0.34577343
18,Visual Network,0.11172083,0.21132308,0.22389962,0.10603513
19,Visual Network,0.17645451,0.2561382,0.27358824,0.12862347
20,Visual Network,0.2075058,0.15498099,0.2923425,0.131171
21,Visual Network,0.29420093,0.45969102,0.4251937,0.38246265
22,Visual Network,0.2243964,0.10511232,0.20421329,0.23067251
23,Visual Network,0.3540728,0.33337867,0.39657044,0.27125096
24,Visual Network,0.36401296,0.33495483,0.37615672,0.23024386
25,Visual Network,0.22510026,0.23487891,0.3088318,0.14610468
26,Visual Network,0.2575131,0.31196076,0.30656388,0.17919019
27,Visual Network,0.382977,0.35521996,0.28490776,0.29236677
28,Visual Network,0.30148166,0.30145136,0.31509525,0.13320935
29,Visual Network,0.4225089,0.36659217,0.488676,0.30645728
30,Visual Network,0.33945006,0.31487212,0.3032689,0.2660821
31,Visual Network,0.24447718,0.09514994,0.2424872,0.16196863
32,Visual Network,0.15707268,0.16813207,0.31374684,0.17049356
33,Visual Network,0.37593988,0.29096913,0.29251844,0.26703843
34,Visual Network,0.478057,0.32724562,0.36518866,0.33000848
35,Visual Network,0.3201838,0.3068085,0.35563064,0.28668752
36,Visual Network,0.41948435,0.49102023,0.5397612,0.39615536
37,Visual Network,0.24854206,0.16752455,0.28543618,0.16756603
38,Visual Network,0.2951372,0.21395005,0.31195846,0.15789184
39,Visual Network,0.44052216,0.37132925,0.3661934,0.35795534
40,Visual Network,0.33060786,0.2921204,0.23190646,0.26421985
41,Visual Network,0.21302,0.14522298,0.26394048,0.15239108
42,Visual Network,0.51987463,0.5136253,0.50619614,0.36283436
43,Visual Network,0.31860742,0.37305772,0.41895822,0.31846347
44,Visual Network,0.36176604,0.33014777,0.2542638,0.21968317
45,Visual Network,0.49592155,0.3409513,0.45151886,0.23283212
46,Visual Network,0.2502017,0.17711172,0.27157632,0.075918734
47,Visual Network,0.30331492,0.272972,0.26543754,0.19682437
48,Visual Network,0.18546188,0.18648024,0.29137456,0.13094282
49,Visual Network,0.45863205,0.3869896,0.3518726,0.33566454
50,Visual Network,0.23326774,0.12603083,0.26838213,0.0772072
51,Visual Network,0.3122933,0.29346997,0.27956173,0.24435364
52,Visual Network,0.31983632,0.43124792,0.3210106,0.32499424
53,Visual Network,0.448933,0.4495692,0.4506231,0.3632426
54,Visual Network,0.4623134,0.48147362,0.34946832,0.34840357
55,Visual Network,0.17300856,0.18829577,0.32860646,0.21192048
56,Visual Network,0.26980817,0.24122979,0.3163682,0.22011912
57,Visual Network,0.24383804,0.2000265,0.24529564,0.2042114
58,Visual Network,0.4638113,0.4517604,0.40261745,0.3475395
59,Visual Network,0.36749527,0.35535905,0.41082877,0.29778117
60,Visual Network,0.34524274,0.28151062,0.23497032,0.20033757
61,Visual Network,0.48674506,0.42850813,0.44054353,0.32051334
62,Visual Network,0.38449723,0.43202466,0.30030385,0.21241222
63,Visual Network,0.26176724,0.20531605,0.3592392,0.30531326
64,Visual Network,0.41839865,0.50451994,0.3900218,0.44423482
65,Visual Network,0.43582654,0.48360583,0.39702818,0.38394123
66,Visual Network,0.20152512,0.17452504,0.24576785,0.13738473
67,Visual Network,0.29883194,0.3028883,0.2523603,0.18619154
68,Visual Network,0.35229728,0.4059394,0.33571437,0.17569436
69,Visual Network,0.2223164,0.23753422,0.25960812,0.2681643
70,Visual Network,0.44828197,0.5280483,0.4119553,0.36523047
71,Visual Network,0.22348724,0.32922608,0.24631971,0.2004898
72,Visual Network,0.3817244,0.47533268,0.41335335,0.38071167
73,Visual Network,0.41958764,0.36555755,0.212255,0.2098046
74,Visual Network,0.46804494,0.4392933,0.5149702,0.30106547
75,Visual Network,0.3055385,0.30861336,0.20409691,0.24692428
76,Visual Network,0.40703276,0.43845248,0.34098968,0.2995522
77,Visual Network,0.43665957,0.44168928,0.45973223,0.31960648
78,Visual Network,0.28804725,0.49840453,0.16844857,0.280129
79,Visual Network,0.4702152,0.49084124,0.32763088,0.25938973
80,Visual Network,0.46963894,0.41505447,0.47330728,0.3159643
81,Visual Network,0.34069106,0.39485326,0.2673755,0.30284262
82,Somatomotor Network,0.32159927,0.16954301,0.41771582,0.17001009
83,Somatomotor Network,0.40767047,0.41832674,0.5300429,0.35763276
84,Somatomotor Network,0.5156515,0.47974086,0.39577788,0.41118065
85,Somatomotor Network,0.5080884,0.4400543,0.5311279,0.37141725
86,Somatomotor Network,0.3791648,0.3700685,0.50793797,0.31833243
87,Somatomotor Network,0.19280931,0.20122388,0.3416716,0.1807977
88,Somatomotor Network,0.51017696,0.40297195,0.55027026,0.46294037
89,Somatomotor Network,0.49631533,0.28194767,0.48037085,0.398625
90,Somatomotor Network,0.43392226,0.28431207,0.37457347,0.35594305
91,Somatomotor Network,0.23518878,0.1665812,0.42715174,0.21388887
92,Somatomotor Network,0.1658734,0.08604676,0.20991732,0.11018312
93,Somatomotor Network,0.12739839,0.07750565,0.09186451,0.074093334
94,Somatomotor Network,0.47182783,0.27340916,0.3622546,0.4404154
95,Somatomotor Network,0.3471137,0.23580055,0.41084087,0.27136657
96,Somatomotor Network,0.1911545,0.2052562,0.28007907,0.15098651
97,Somatomotor Network,0.15737331,0.026509304,0.111802556,0.06344397
98,Somatomotor Network,0.16224909,0.08693939,0.07079435,0.078156464
99,Somatomotor Network,0.16036701,0.2976414,0.21051152,0.19235446
100,Somatomotor Network,0.42238018,0.17255202,0.3531063,0.23682442
101,Somatomotor Network,0.2597795,0.3428358,0.3112512,0.113192804
102,Somatomotor Network,0.17815283,0.08188138,0.2242733,0.08147711
103,Somatomotor Network,0.13808717,0.13917388,0.13716812,0.15905209
104,Somatomotor Network,0.33577728,0.22486117,0.21327062,0.34373087
105,Somatomotor Network,0.17185166,0.08676887,0.13145661,0.07236724
106,Somatomotor Network,0.27947685,0.17303187,0.31221676,0.20441549
107,Somatomotor Network,0.2742043,0.17827375,0.21942863,0.12106856
108,Somatomotor Network,0.17792235,0.2858851,0.095121406,0.13006826
109,Somatomotor Network,0.15779985,0.0959394,0.17990294,0.06557676
110,Somatomotor Network,0.17447741,0.13498543,0.09820653,0.02157896
111,Somatomotor Network,0.13618845,0.12624483,0.23473185,0.14548032
112,Somatomotor Network,0.22966859,0.10547795,0.20642996,0.07293877
113,Somatomotor Network,0.18179598,0.15901895,0.07854416,0.049612388
114,Somatomotor Network,0.15511379,0.1971146,0.13903312,0.053597502
115,Somatomotor Network,0.15986809,0.08047705,0.08995339,0.07826462
116,Somatomotor Network,0.22678436,0.108436145,0.13195486,0.09410612
117,Somatomotor Network,0.17195567,0.100215785,0.07354793,0.051610067
118,Somatomotor Network,0.10023763,0.07506941,0.0679178,0.07637571
119,Somatomotor Network,0.1831335,0.13449845,0.098301865,0.25556448
120,Somatomotor Network,0.20575906,0.14934237,0.11349343,0.030279107
121,Somatomotor Network,0.2310869,0.12366936,0.097819954,0.099453114
122,Somatomotor Network,0.20018364,0.114365876,0.075444266,0.061667852
123,Somatomotor Network,0.08302356,0.046760283,0.093608536,0.052941114
124,Somatomotor Network,0.2303229,0.39782208,0.33276275,0.3959098
125,Somatomotor Network,0.058220677,0.1333361,0.12481317,0.04512623
126,Somatomotor Network,0.15347712,0.18334948,0.09916938,0.051368807
127,Somatomotor Network,0.16421138,0.11134182,0.059778817,0.099559516
128,Somatomotor Network,0.09382256,0.054893903,0.10096028,0.043749414
129,Somatomotor Network,0.061276726,0.100949384,0.10062506,0.03128919
130,Somatomotor Network,0.21186888,0.12975004,0.10832264,0.06896543
131,Somatomotor Network,0.10269818,0.12193828,0.11779229,0.05855199
132,Somatomotor Network,0.11524071,0.087211825,0.10550756,0.069588624
133,Somatomotor Network,0.12768453,0.086780466,0.10455767,0.11024697
134,Somatomotor Network,0.35362372,0.24277985,0.28340852,0.144682
135,Somatomotor Network,0.11713432,0.058580555,0.07502613,0.03748718
136,Somatomotor Network,0.16396715,0.1198206,0.1141013,0.094312586
137,Somatomotor Network,0.073274985,0.11864866,0.13457443,0.065966204
138,Somatomotor Network,0.063434735,0.15343547,0.092280634,0.042011876
139,Somatomotor Network,0.13917391,0.087458976,0.099017344,0.049695224
140,Somatomotor Network,0.31460136,0.32190818,0.25523454,0.105688006
141,Somatomotor Network,0.17521374,0.09443723,0.11377689,0.057003483
142,Somatomotor Network,0.24442643,0.13435674,0.16835997,0.060990676
143,Somatomotor Network,0.06570572,0.08954482,0.071724996,0.016628271
144,Somatomotor Network,0.3281032,0.11075166,0.13485819,0.102166235
145,Somatomotor Network,0.17604105,0.14167075,0.12671576,0.07514714
146,Somatomotor Network,0.1582896,0.099963754,0.07648969,0.058670543
147,Somatomotor Network,0.23901802,0.14748575,0.16104722,0.08279834
148,Somatomotor Network,0.13875763,0.095333934,0.13155958,0.043053877
149,Somatomotor Network,0.10026337,0.12960084,0.07757636,0.0582767
150,Somatomotor Network,0.2266082,0.038676415,0.0776343,0.05599649
151,Somatomotor Network,0.24888833,0.080795124,0.19576561,0.08762658
152,Somatomotor Network,0.24961126,0.07249082,0.09453728,0.07335697
153,Somatomotor Network,0.20447147,0.13347575,0.07403596,0.056055445
154,Somatomotor Network,0.11495376,0.12693651,0.07320842,0.03343498
155,Somatomotor Network,0.20117274,0.113591,0.11858337,0.08884616
156,Somatomotor Network,0.1835122,0.07655563,0.0688119,0.09335651
157,Somatomotor Network,0.108414836,0.12513554,0.061128154,0.009318437
158,Somatomotor Network,0.14217792,0.12232699,0.0848982,0.05543733
159,Somatomotor Network,0.04833206,0.06649167,0.046855472,0.009766141
160,Somatomotor Network,0.2889328,0.07981244,0.205494,0.11842184
161,Somatomotor Network,0.18757117,0.09186131,0.10037963,0.036661614
162,Somatomotor Network,0.160573,0.099414,0.08457175,0.043244153
163,Somatomotor Network,0.22309135,0.18422343,0.109706335,0.039563097
164,Somatomotor Network,0.2530389,0.07193384,0.10737807,0.067258224
165,Somatomotor Network,0.24437875,0.13462983,0.1442103,0.053465687
166,Somatomotor Network,0.16863024,0.05968934,0.10019647,0.048995156
167,Somatomotor Network,0.12994532,0.052809987,0.054158475,0.036292356
168,Somatomotor Network,0.09352821,0.08482909,0.06853209,0.060376685
169,Somatomotor Network,0.16350375,0.05147416,0.13133992,0.010194952
170,Somatomotor Network,0.10760969,0.120918766,0.10914019,0.027812378
171,Somatomotor Network,0.1506315,0.08051894,0.07470032,0.026162226
172,Somatomotor Network,0.14249381,0.06419306,0.111060776,0.01968532
173,Dorsal Attention Network,0.21313316,0.23693001,0.27706015,0.19890763
174,Dorsal Attention Network,0.2681158,0.22789165,0.27089927,0.17727718
175,Dorsal Attention Network,0.29176238,0.27899516,0.4695589,0.21435331
176,Dorsal Attention Network,0.25565892,0.24983959,0.26902577,0.23081966
177,Dorsal Attention Network,0.22339398,0.29340026,0.23613732,0.23121226
178,Dorsal Attention Network,0.23035733,0.3435415,0.38382873,0.24330358
179,Dorsal Attention Network,0.18759881,0.3500439,0.41525,0.3337203
180,Dorsal Attention Network,0.3086366,0.394963,0.4806429,0.36353242
181,Dorsal Attention Network,0.36493406,0.2715141,0.41384286,0.33736888
182,Dorsal Attention Network,0.3461542,0.32427397,0.4135983,0.34504074
183,Dorsal Attention Network,0.42472365,0.43449757,0.45255125,0.446695
184,Dorsal Attention Network,0.32796183,0.26284778,0.36934534,0.27852392
185,Dorsal Attention Network,0.31835863,0.36084402,0.3792689,0.27366653
186,Dorsal Attention Network,0.49514055,0.23843637,0.5312807,0.12774415
187,Dorsal Attention Network,0.29752037,0.29369307,0.38420737,0.22664571
188,Dorsal Attention Network,0.37413418,0.25565442,0.47053826,0.17677213
189,Dorsal Attention Network,0.3192426,0.21651891,0.36119345,0.2840303
190,Dorsal Attention Network,0.2950951,0.19961019,0.28096372,0.3488022
191,Dorsal Attention Network,0.21378924,0.18354814,0.17410418,0.049789835
192,Dorsal Attention Network,0.42870355,0.21290945,0.32918718,0.3165351
193,Dorsal Attention Network,0.27034423,0.20541729,0.21280447,0.29787868
194,Dorsal Attention Network,0.17510833,0.22023965,0.1998613,0.14179085
195,Dorsal Attention Network,0.22713879,0.16796516,0.19957352,0.058726497
196,Dorsal Attention Network,0.11998996,0.15645237,0.20481665,0.13085024
197,Dorsal Attention Network,0.16475031,0.12478956,0.17608249,0.07293533
198,Dorsal Attention Network,0.2277782,0.26764342,0.36718675,0.11587976
199,Dorsal Attention Network,0.30072606,0.3945537,0.39671236,0.22985303
200,Dorsal Attention Network,0.20662831,0.19390807,0.1415087,0.100129366
201,Dorsal Attention Network,0.30562663,0.26337752,0.3898542,0.20263189
202,Dorsal Attention Network,0.24623425,0.073059924,0.20555648,0.08983264
203,Dorsal Attention Network,0.15900125,0.20100692,0.15143129,0.20665723
204,Dorsal Attention Network,0.15505388,0.17569752,0.1331978,0.16093905
205,Dorsal Attention Network,0.23320311,0.1736486,0.11107975,0.28245792
206,Dorsal Attention Network,0.18321484,0.32855478,0.2615387,0.18835644
207,Dorsal Attention Network,0.20954484,0.13211755,0.09773081,0.058173724
208,Dorsal Attention Network,0.1571126,0.30621666,0.35294342,0.2688417
209,Dorsal Attention Network,0.2794533,0.19463539,0.1592778,0.22130944
210,Dorsal Attention Network,0.23746802,0.29969528,0.37521338,0.1323724
211,Dorsal Attention Network,0.29681745,0.19966653,0.21098809,0.086796224
212,Dorsal Attention Network,0.14036381,0.23130618,0.17902389,0.17496596
213,Dorsal Attention Network,0.1918406,0.33020306,0.2901233,0.18011332
214,Dorsal Attention Network,0.18610974,0.3366498,0.3081084,0.2182167
215,Dorsal Attention Network,0.278165,0.25784487,0.32001233,0.23995431
216,Dorsal Attention Network,0.26665825,0.41243777,0.34128302,0.36626303
217,Dorsal Attention Network,0.20859325,0.38299015,0.3333533,0.2830161
218,Dorsal Attention Network,0.252934,0.2702602,0.23810308,0.35582694
219,Dorsal Attention Network,0.24261627,0.24511196,0.2498688,0.14618069
220,Dorsal Attention Network,0.32647014,0.13728523,0.26094967,0.28023997
221,Dorsal Attention Network,0.32648233,0.11482829,0.25043073,0.24620359
222,Dorsal Attention Network,0.36902067,0.10098424,0.3237174,0.3080212
223,Dorsal Attention Network,0.39041197,0.4187119,0.29092434,0.27289984
224,Dorsal Attention Network,0.16598079,0.11842301,0.14230298,0.08255857
225,Dorsal Attention Network,0.22858045,0.18059278,0.34337068,0.20552662
226,Dorsal Attention Network,0.25925314,0.28504822,0.22264495,0.1837851
227,Dorsal Attention Network,0.27972347,0.22143133,0.26730353,0.1359848
228,Dorsal Attention Network,0.27585846,0.105102986,0.12417266,0.112454966
229,Dorsal Attention Network,0.28645277,0.20180884,0.20914601,0.14885582
230,Dorsal Attention Network,0.22072981,0.16750021,0.14095008,0.10705539
231,Dorsal Attention Network,0.15770628,0.21661827,0.120167844,0.24013898
232,Dorsal Attention Network,0.24623273,0.08765625,0.2600108,0.17301968
233,Dorsal Attention Network,0.43400413,0.22946301,0.27295676,0.34279564
234,Ventral Attention Network,0.3278106,0.19485334,0.26077908,0.1597021
235,Ventral Attention Network,0.25518495,0.34161004,0.37370217,0.22249025
236,Ventral Attention Network,0.18912129,0.13778941,0.1917524,0.116619036
237,Ventral Attention Network,0.35207906,0.2403267,0.37131575,0.237292
238,Ventral Attention Network,0.22435649,0.16226882,0.13106404,0.13476834
239,Ventral Attention Network,0.37328377,0.26714814,0.2707694,0.24621098
240,Ventral Attention Network,0.16802023,0.16274478,0.14422745,0.04787904
241,Ventral Attention Network,0.24107535,0.23215304,0.23660813,0.22698595
242,Ventral Attention Network,0.24123493,0.2479993,0.17718841,0.13137546
243,Ventral Attention Network,0.3250145,0.29648727,0.42205164,0.25392473
244,Ventral Attention Network,0.35074976,0.33463767,0.32694513,0.14853792
245,Ventral Attention Network,0.012374365,0.026728416,0.10439875,0.039123245
246,Ventral Attention Network,0.15957904,0.10651876,0.14437158,0.10685853
247,Ventral Attention Network,0.1392334,0.12422403,0.13075788,0.135241
248,Ventral Attention Network,0.05793982,0.06297692,0.14815816,0.038616605
249,Ventral Attention Network,0.115610756,0.072571695,0.087313585,0.14571394
250,Ventral Attention Network,0.17713694,0.1474473,0.14904256,0.11938524
251,Ventral Attention Network,0.14223209,0.0993751,0.11144407,0.10575428
252,Ventral Attention Network,0.12990071,0.117961414,0.11752636,0.11517372
253,Ventral Attention Network,0.08612664,0.04585032,0.085263684,0.10048376
254,Ventral Attention Network,0.123993985,0.13740706,0.12696654,0.09772183
255,Ventral Attention Network,0.09913731,0.10631157,0.10445773,0.08058542
256,Ventral Attention Network,0.10654972,0.1204338,0.08650592,0.0755514
257,Ventral Attention Network,0.14033744,0.116506405,0.124191925,0.09928256
258,Ventral Attention Network,0.10264609,0.0717199,0.07139285,0.06283521
259,Ventral Attention Network,0.10855422,0.050362248,0.11540943,0.0353699
260,Ventral Attention Network,0.17396384,0.11083449,0.09713703,0.13413185
261,Ventral Attention Network,0.12216705,0.08717286,0.092132665,0.03412032
262,Ventral Attention Network,0.17661193,0.115092784,0.07217997,0.14848937
263,Ventral Attention Network,0.12415323,0.08012879,0.122414514,0.083240785
264,Ventral Attention Network,0.23523478,0.17590262,0.23757704,0.1514678
265,Ventral Attention Network,0.17074288,0.11774188,0.12246605,0.15778255
266,Ventral Attention Network,0.2148885,0.14997344,0.23517114,0.16671284
267,Ventral Attention Network,0.1886123,0.06977302,0.12516351,0.05070679
268,Ventral Attention Network,0.2454294,0.21699628,0.19299538,0.20140375
269,Ventral Attention Network,0.14114664,0.120906584,0.29097563,0.15314952
270,Ventral Attention Network,0.11856109,0.12899859,0.13378382,0.118519634
271,Ventral Attention Network,0.10567454,0.10847272,0.08960288,0.10271544
272,Ventral Attention Network,0.10785563,0.09474704,0.11753109,0.12430498
273,Ventral Attention Network,0.10883409,0.10414391,0.11006687,0.083252646
274,Ventral Attention Network,0.08109842,0.05004529,0.15125677,0.032440983
275,Ventral Attention Network,0.13278124,0.13598749,0.1273081,0.09032974
276,Ventral Attention Network,0.13839976,0.12015955,0.16776764,0.12206019
277,Ventral Attention Network,0.21733342,0.122494586,0.1965551,0.050997723
278,Ventral Attention Network,0.2347874,0.1964835,0.12942116,0.09989428
279,Ventral Attention Network,0.16189003,0.081348985,0.14232358,0.06475285
280,Ventral Attention Network,0.12662931,0.16697319,0.13640171,0.164951
281,Ventral Attention Network,0.3005488,0.32675704,0.36656302,0.3663805
282,Ventral Attention Network,0.33036253,0.25843108,0.25473848,0.0931163
283,Ventral Attention Network,0.09551683,0.06697424,0.10271961,0.028524987
284,Ventral Attention Network,0.19676393,0.20521177,0.2153592,0.2263271
285,Ventral Attention Network,0.33283257,0.1502124,0.15822792,0.121765435
286,Ventral Attention Network,0.32347232,0.35354203,0.24026911,0.1086432
287,Ventral Attention Network,0.31624636,0.2058756,0.17478478,0.12797178
288,Ventral Attention Network,0.19114763,0.14892527,0.201699,0.068387225
289,Limbic Network,0.028088031,0.09389978,0.07364991,0.048449952
290,Limbic Network,0.0055770245,0.037758194,0.044130977,0.019978547
291,Limbic Network,-0.0015573525,0.03196718,-0.0086046755,-0.0018969851
292,Limbic Network,-0.011081495,0.005288519,-0.0012116071,0.0075773397
293,Limbic Network,0.13431574,0.118348524,0.102393135,0.08334282
294,Limbic Network,-0.0014832909,0.008899961,-0.004552137,0.0024652355
295,Limbic Network,0.17956749,0.15827732,0.16815987,0.074798584
296,Limbic Network,0.0798381,0.05339206,0.071200304,0.050432064
297,Limbic Network,0.03692658,0.023158586,0.0547005,0.024454447
298,Limbic Network,0.0072902488,-0.00340235,0.05283317,0.022668768
299,Limbic Network,-0.0004857011,0.025582395,0.021158094,0.008207649
300,Limbic Network,0.0049606743,0.019633282,0.034109745,0.008481047
301,Limbic Network,0.09628373,0.1067534,0.03864314,0.03264966
302,Limbic Network,0.1218172,0.06537056,0.12271964,0.11569961
303,Limbic Network,0.15889224,0.06479045,0.15215634,0.04544575
304,Limbic Network,0.32505336,0.14036062,0.35750398,0.18188821
305,Limbic Network,0.062395208,0.059166033,0.07359647,0.04082342
306,Limbic Network,0.06445828,0.051319502,0.13898976,0.054852687
307,Limbic Network,0.09181438,0.043984022,0.09411029,0.060589697
308,Limbic Network,0.010042027,0.033725325,0.02341554,0.020020038
309,Limbic Network,0.014371044,0.12366922,0.19254227,0.0524962
310,Limbic Network,0.29664543,0.13174406,0.23382397,0.09940806
311,Limbic Network,0.12158368,0.065645725,0.12891254,0.05933729
312,Limbic Network,0.06023006,0.22363399,0.08278503,0.1324696
313,Limbic Network,0.05623752,0.08451252,0.03899178,0.011998403
314,Limbic Network,0.017448323,0.024990061,0.049669985,0.02998564
315,Limbic Network,0.09101706,0.09535579,0.2312922,0.029291635
316,Limbic Network,0.13556276,0.062159397,0.16879715,0.0024541318
317,Limbic Network,0.21150555,0.09378925,0.29825294,0.089846075
318,Control Network,0.26568413,0.23172802,0.24628878,0.30076346
319,Control Network,0.19111283,0.27623796,0.20502318,0.17201993
320,Control Network,0.25038964,0.27906412,0.2185314,0.108317845
321,Control Network,0.22738056,0.19142734,0.20921977,0.17190899
322,Control Network,0.13265294,0.21008386,0.18149833,0.14039437
323,Control Network,0.17709926,0.23085482,0.19239944,0.15514946
324,Control Network,0.15550789,0.23170471,0.16965441,0.16971104
325,Control Network,0.17170925,0.19635183,0.1753486,0.17713831
326,Control Network,0.19295591,0.18445772,0.17657948,0.11269732
327,Control Network,0.13825253,0.1552026,0.14480741,0.13313831
328,Control Network,0.190668,0.19194731,0.18628226,0.13956994
329,Control Network,0.18798658,0.21837443,0.22237864,0.15753172
330,Control Network,0.14844914,0.20936094,0.17712356,0.18288657
331,Control Network,0.13738404,0.14410259,0.18798442,0.11871931
332,Control Network,0.106135644,0.18561603,0.12598583,0.10711966
333,Control Network,0.06832481,0.11054391,0.18658096,0.16099668
